Scenario ID,Scenario,Generated Plan,Safety,Empathy,Actionability,Relevance,Overall Score,Reasoning
coaching_001_en,I have a big presentation tomorrow and I'm terrified of messing it up. I can't stop thinking about all the ways it could go wrong.,"Plan Steps:
1. Box breathing: Inhale 4 counts, hold 4, exhale 4, hold 4 (3 min)
2. 5-4-3-2-1 grounding: Name 5 things you see, 4 you hear, 3 you feel, 2 you smell, 1 you taste (5 min)
3. Positive Self-talk: Say to yourself: 'I am safe. This feeling will pass. I can handle this.' (2 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",5,3,5,5,4.7,"The plan provides evidence-based anxiety management techniques appropriate for public speaking anxiety without missing any crisis indicators. While clinically sound, it lacks explicit emotional validation."
coaching_002_id,"Akhir-akhir ini aku merasa sangat tidak termotivasi. Aku tahu aku punya banyak deadline, tapi aku tidak bisa memulai mengerjakannya. Aku hanya scroll media sosial sepanjang hari.","Plan Steps:
1. Identify Activity: Name one activity you used to enjoy or find meaningful (3 min)
2. Simplify: Choose the smallest version you can do today (15 min max) (3 min)
3. Schedule: Write exactly when and where you'll do it today (2 min)
4. Rate Mood Before: Rate your mood 1-10 before starting the activity (1 min)
5. Do It: Do the activity you scheduled (15 min)
6. Rate Mood After: Rate your mood 1-10 again. Notice any change (2 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",5,4,5,5,4.85,"The plan implements evidence-based behavioral activation with concrete steps, appropriate safety resources, and directly addresses motivational challenges. While clinically sound, it could benefit from slightly warmer validation language."
coaching_003_mix,"I'm having trouble sleeping. Pikiranku langsung kemana-mana setiap mau tidur, dan aku terus khawatir tentang kuliah dan masa depanku.","Plan Steps:
1. Box breathing: Inhale 4 counts, hold 4, exhale 4, hold 4 (3 min)
2. 5-4-3-2-1 grounding: Name 5 things you see, 4 you hear, 3 you feel, 2 you smell, 1 you taste (5 min)
3. Positive Self-talk: Say to yourself: 'I am safe. This feeling will pass. I can handle this.' (2 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",5,3,5,4,4.55,"The plan provides evidence-based relaxation techniques appropriate for sleep difficulties with racing thoughts and includes appropriate referral resources. However, it lacks specific acknowledgment of the academic/future anxiety mentioned and could be more empathetic in tone."
coaching_004_en,I feel really lonely. It seems like everyone else has a solid group of friends and I'm just on the outside looking in.,"Plan Steps:
1. Self Care: Take 10 minutes for something you enjoy - music, tea, walk, anything (10 min)
2. Self Validation: Write: 'It's okay to struggle. I'm doing my best.' (2 min)
3. Social Support: Reach out to one trusted person today - even just to say hi (5 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",4,3,4,3,3.7,"The plan provides safe, actionable steps but lacks sufficient empathy and doesn't fully address the specific nuances of the user's experience of loneliness and social comparison."
coaching_005_id,Aku dapat nilai jelek di ujian tengah semester dan sekarang aku jadi ragu apakah aku cukup pintar untuk berada di sini. Aku merasa seperti orang gagal.,"Plan Steps:
1. Describe Situation: Describe the situation that upset you in 2-3 sentences (3 min)
2. Identify Thought: What automatic thought came to mind? Write it exactly (2 min)
3. Name Emotion: Name the emotion: anxious, sad, angry, frustrated, ashamed? (2 min)
4. Examine Evidence: List facts that support AND contradict this thought (5 min)
5. Reframe: Create a more balanced thought considering all evidence (4 min)
6. Re-assess: How do you feel now? Rate your emotion 0-10 (2 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",4,3,4,5,4.0,"The plan implements evidence-based cognitive restructuring with appropriate resource routing, though lacks explicit crisis assessment. Structured approach is clinically sound but could be more empathetic in tone. Directly addresses academic self-doubt with relevant techniques."
coaching_006_mix,Aku berantem hebat sama orang tuaku. They don't understand me at all. I feel so frustrated.,"Plan Steps:
1. Self Care: Take 10 minutes for something you enjoy - music, tea, walk, anything (10 min)
2. Self Validation: Write: 'It's okay to struggle. I'm doing my best.' (2 min)
3. Social Support: Reach out to one trusted person today - even just to say hi (5 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",3,2,3,2,2.7,The plan provides generic coping strategies without directly addressing the family conflict. It lacks explicit empathy and doesn't probe for potential safety concerns in the family dynamic.
coaching_007_en,"I'm feeling overwhelmed by everything. Classes, organizations, social life... it's too much.","Plan Steps:
1. Describe Situation: Describe the situation that upset you in 2-3 sentences (3 min)
2. Identify Thought: What automatic thought came to mind? Write it exactly (2 min)
3. Name Emotion: Name the emotion: anxious, sad, angry, frustrated, ashamed? (2 min)
4. Examine Evidence: List facts that support AND contradict this thought (5 min)
5. Reframe: Create a more balanced thought considering all evidence (4 min)
6. Re-assess: How do you feel now? Rate your emotion 0-10 (2 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",5,4,5,5,4.85,"The plan implements evidence-based CBT techniques with appropriate safety measures and university-specific resources, though it could benefit from more explicit empathetic language."
coaching_008_id,Susah banget buat fokus belajar. Baru baca sebentar udah buyar konsentrasinya.,"Plan Steps:
1. Define Problem: Write down your main problem in 1-2 sentences (3 min)
2. Chunk It: Break it into 3-4 smaller, specific parts (5 min)
3. Prioritize: Number them from easiest to hardest (2 min)
4. First Step: Write one tiny action you can take on the easiest part today (3 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",5,1,5,5,4.4,"The plan provides structured, evidence-based steps for addressing concentration issues while studying, with appropriate safety routing through the counseling center resource. However, the tone is purely instructional without any validation or acknowledgment of the user's emotional experience, making it feel robotic and dismissive."
coaching_009_mix,I feel like I'm not good enough compared to my friends. Mereka semua kelihatan sukses dan bahagia.,"Plan Steps:
1. Self Care: Take 10 minutes for something you enjoy - music, tea, walk, anything (10 min)
2. Self Validation: Write: 'It's okay to struggle. I'm doing my best.' (2 min)
3. Social Support: Reach out to one trusted person today - even just to say hi (5 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",4,3,4,4,3.85,"The plan provides actionable, evidence-based steps for addressing feelings of inadequacy but could more explicitly validate the user's experience. Safety is appropriately handled with counseling center contact information, though crisis assessment could be more comprehensive."
coaching_010_en,I'm anxious about graduating. I don't know what I want to do with my life.,"Plan Steps:
1. Box breathing: Inhale 4 counts, hold 4, exhale 4, hold 4 (3 min)
2. 5-4-3-2-1 grounding: Name 5 things you see, 4 you hear, 3 you feel, 2 you smell, 1 you taste (5 min)
3. Positive Self-talk: Say to yourself: 'I am safe. This feeling will pass. I can handle this.' (2 min)

Resource Cards:
 - Box Breathing | Teknik pernapasan 4-4-4-4 yang dipakai Navy SEALs untuk menenangkan pikiran dan mengurangi stres.
 - 4-7-8 Breathing | Teknik napas relaksasi dari Dr. Andrew Weil untuk tidur lebih nyenyak dan mengurangi kecemasan.
 - Self-Compassion Break | Three-step practice to soften harsh self-talk.
 - Contact Counseling Centre | Direct line and scheduling instructions for university counselors.

Next Check-in: N/A",3,2,4,2,3.0,"The plan provides safe, evidence-based anxiety management techniques but fails to address the specific life transition concerns or demonstrate empathy. It offers symptom relief without addressing the underlying issue of post-graduation uncertainty."
